METALLOGENESIS,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,,D,M,LAT,D,M,LON
CHITRADURGA BELT,BELLARY,KARNATAKA,57 C,13.58333333,76.58333333,Gold,"METAVOLCANICS,METASEDIMENTS",SHEAR CONTROLLED,CHITRADURGA (DHARWAR),,13,35,13.58333333,76,35,76.58333333
CHITRADURGA BELT,C.K.HALLI,KARNATAKA,57B,14.38333333,76.36666667,Gold,SHEARED ARGILLITE,SHEAR CONTROLLED,CHITRADURGA (DHARWAR),,14,23,14.38333333,76,22,76.36666667
CHITRADURGA BELT,G.R.HALLI,KARNATAKA,57 B,14.28333333,76.4,Gold,"SHEARED METABASALTS,CARB.ARGILLITE",AURIFEROUS QUARTZVEIN,CHITRADURGA (DHARWAR),,14,17,14.28333333,76,24,76.4
CHITRADURGA BELT,AJJANAHALLI,KARNATAKA,57 C,13.75,76.73333333,Gold,METAVOLCANICS,BIF HOSTED DEPOSIT,BABABUDAN (DHARWAR),,13,45,13.75,76,44,76.73333333
GADAG SCHIST BELT,ATTIKATTI,KARNATAKA,48 M,15.33333333,75.65,Gold,"PHYLLITE,GRAPHITE SCHIST",QUARTZ VEIN AL0NG SHEAR,CHITRADURGA(DHARWAR).,,15,20,15.33333333,75,39,75.65
GADAG SCHIST BELT,HOSUR-YELISHIRUR,KARNATAKA,48 M,15.3,75.56666667,Gold,"METAVOLCANICS,PHYLLITE,BMQ",STRATABOUND-CONCORDANT,CHITRADURGA(DHARWAR).,,15,18,15.3,75,34,75.56666667
GADAG SCHIST BELT,KABULIYATKATTI,KARNATAKA,48 M,15.28333333,75.66666667,Gold,"GREYWACKE,PHYLLITE",QUARTZ VEIN ALONG SHEAR,CHITRADURGA(DHARWAR).,,15,17,15.28333333,75,40,75.66666667
GADAG SCHIST BELT,MYSORE,KARNATAKA,48 M,15.23333333,75.66666667,Gold,"META ANDESITE,PHYLLITE,BMQ",VEINS/STRINGERS-STRATABOUND,CHITRADURGA(DHARWAR).,,15,14,15.23333333,75,40,75.66666667
GADAG SCHIST BELT,SANGLI,KARNATAKA,48 M,15.3,75.68333333,Gold,"METASEDIMENTS,METAVOLCANICS",STRATABOUND-SHEAR CONTROL,CHITRADURGA(DHARWAR).,,15,18,15.3,75,41,75.68333333
GARUMAHISANI PROVINCE,KUNDERKOCHA-POROJHARNA,ORISSA,73 J,22.16666667,86.26666667,Gold,CHERT AND TALC-CHLORITE SCHIST,STRATABOUND-REMOBILISED,GARUMAHISANI Gp.,,22,10,22.16666667,86,16,86.26666667
HUTTI MASKI BELT,CHINCHERGI,KARNATAKA,56 D,16.15,76.78333333,Gold,BASIC AND ACID VOLCANICS,DISCORDANT-SHEAR CONTROL,EASTERN GREENSTONE,,16,9,16.15,76,47,76.78333333
HUTTI MASKI BELT,HIRA-BUDINI,KARNATAKA,56 D,16.18333333,76.8,Gold,CONTACT OF MAFIC FELSIC VOLCANICS,DISCORDANT-SHEAR CONTROL,HUTTI Gp.,,16,11,16.18333333,76,48,76.8
